,alias,auctionEndTime,baseCcy,category,contTdSwTime,ctMult,ctType,ctVal,ctValCcy,expTime,futureSettlement,instFamily,instId,instIdCode,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtAmt,maxLmtSz,maxMktAmt,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,openType,optType,quoteCcy,ruleType,settleCcy,state,stk,tickSz,tradeQuoteCcyList,uly
0,,,,1,,1,inverse,100,USD,,False,BTC-USD,BTC-USD-SWAP,10458,SWAP,100,1535424203000,1,100000000.0000000000000000,20000000,100000000,,30000,30000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,BTC,live,,0.1,[],BTC-USD
1,,,,1,,1,inverse,10,USD,,False,ETH-USD,ETH-USD-SWAP,10460,SWAP,100,1545378827000,1,100000000.0000000000000000,20000000,100000000,,300000,300000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,ETH,live,,0.01,[],ETH-USD
2,,,,1,,1,inverse,10,USD,,False,SOL-USD,SOL-USD-SWAP,47079,SWAP,50,1637833825870,1,100000000.0000000000000000,20000000,100000000,,12000,12000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,SOL,live,,0.01,[],SOL-USD
3,,,,1,,1,inverse,10,USD,,False,DOGE-USD,DOGE-USD-SWAP,11754,SWAP,50,1612256400000,1,100000000.0000000000000000,20000000,100000000,,30000,30000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,DOGE,live,,0.00001,[],DOGE-USD
4,,,,1,,1,inverse,10,USD,,False,XRP-USD,XRP-USD-SWAP,10470,SWAP,50,1545378827000,1,100000000.0000000000000000,20000000,100000000,,40000,40000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,XRP,live,,0.0001,[],XRP-USD
5,,,,1,,1,inverse,10,USD,,False,ADA-USD,ADA-USD-SWAP,10482,SWAP,20,1582888608000,1,100000000.0000000000000000,20000000,100000000,,10000,10000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,ADA,live,,0.0001,[],ADA-USD
6,,,,1,,1,inverse,10,USD,,False,ATOM-USD,ATOM-USD-SWAP,10489,SWAP,20,1535424203000,1,100000000.0000000000000000,20000000,100000000,,6000,6000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,ATOM,live,,0.001,[],ATOM-USD
7,,,,1,,1,inverse,10,USD,,False,AVAX-USD,AVAX-USD-SWAP,47080,SWAP,20,1637833836891,1,100000000.0000000000000000,20000000,100000000,,5000,5000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,AVAX,live,,0.001,[],AVAX-USD
8,,,,1,,1,inverse,10,USD,,False,BCH-USD,BCH-USD-SWAP,10464,SWAP,20,1545378827000,1,100000000.0000000000000000,20000000,100000000,,3000,3000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,BCH,live,,0.1,[],BCH-USD
9,,,,1,,1,inverse,10,USD,,False,DOT-USD,DOT-USD-SWAP,10503,SWAP,20,1599041571000,1,100000000.0000000000000000,20000000,100000000,,10000,10000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,DOT,live,,0.001,[],DOT-USD
10,,,,1,,1,inverse,10,USD,,False,ETC-USD,ETC-USD-SWAP,10468,SWAP,20,1545378827000,1,100000000.0000000000000000,20000000,100000000,,7000,7000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,ETC,live,,0.01,[],ETC-USD
11,,,,1,,1,inverse,10,USD,,False,FIL-USD,FIL-USD-SWAP,10506,SWAP,50,1607580000000,1,100000000.0000000000000000,20000000,100000000,,8000,8000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,FIL,live,,0.001,[],FIL-USD
12,,,,1,,1,inverse,10,USD,,False,LINK-USD,LINK-USD-SWAP,10518,SWAP,50,1582888608000,1,100000000.0000000000000000,20000000,100000000,,7000,7000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,LINK,live,,0.001,[],LINK-USD
13,,,,1,,1,inverse,10,USD,,False,LTC-USD,LTC-USD-SWAP,10462,SWAP,50,1545378827000,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,LTC,live,,0.01,[],LTC-USD
14,,,,1,,1,inverse,10,USD,,False,OP-USD,OP-USD-SWAP,158825,SWAP,20,1715588701379,1,100000000.0000000000000000,20000000,100000000,,3000,3000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,OP,live,,0.0001,[],OP-USD
15,,,,1,,1,inverse,10,USD,,False,SUI-USD,SUI-USD-SWAP,180525,SWAP,20,1729234800104,1,100000000.0000000000000000,20000000,100000000,,10000,10000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,SUI,live,,0.0001,[],SUI-USD
16,,,,1,,1,inverse,10,USD,,False,TRX-USD,TRX-USD-SWAP,10472,SWAP,20,1547611763000,1,100000000.0000000000000000,20000000,100000000,,6000,6000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,TRX,live,,0.00001,[],TRX-USD
17,,,,1,,1,inverse,10,USD,,False,UNI-USD,UNI-USD-SWAP,10542,SWAP,20,1600340400000,1,100000000.0000000000000000,20000000,100000000,,10000,10000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,UNI,live,,0.001,[],UNI-USD
18,,,,1,,1,inverse,10,USD,,False,XLM-USD,XLM-USD-SWAP,10480,SWAP,20,1535424203000,1,100000000.0000000000000000,20000000,100000000,,8000,8000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,XLM,live,,0.00001,[],XLM-USD
19,,,,1,,1,linear,0.01,BTC,,False,BTC-USDT,BTC-USDT-SWAP,10459,SWAP,100,1573557408000,0.01,100000000.0000000000000000,20000000,100000000,,12000,12000,100000000.0000000000000000,100000000.0000000000000000,0.01,,,,normal,USDT,live,,0.1,[],BTC-USDT
20,,,,1,,1,linear,0.1,ETH,,False,ETH-USDT,ETH-USDT-SWAP,10461,SWAP,100,1573557408000,0.01,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,0.01,,,,normal,USDT,live,,0.01,[],ETH-USDT
21,,,,1,,1,linear,1,SOL,,False,SOL-USDT,SOL-USDT-SWAP,10530,SWAP,50,1611298800000,0.01,100000000.0000000000000000,20000000,100000000,,15000,15000,100000000.0000000000000000,100000000.0000000000000000,0.01,,,,normal,USDT,live,,0.01,[],SOL-USDT
22,,,,1,,1,linear,1,TON,,False,TON-USDT,TON-USDT-SWAP,111370,SWAP,20,1672210451828,1,100000000.0000000000000000,20000000,100000000,,40000,40000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],TON-USDT
23,,,,1,,1,linear,1000,DOGE,,False,DOGE-USDT,DOGE-USDT-SWAP,10502,SWAP,50,1587463971000,0.01,100000000.0000000000000000,20000000,100000000,,12000,12000,100000000.0000000000000000,100000000.0000000000000000,0.01,,,,normal,USDT,live,,0.00001,[],DOGE-USDT
24,,,,1,,1,linear,100,XRP,,False,XRP-USDT,XRP-USDT-SWAP,10471,SWAP,50,1573557408000,0.01,100000000.0000000000000000,20000000,100000000,,15000,15000,100000000.0000000000000000,100000000.0000000000000000,0.01,,,,normal,USDT,live,,0.0001,[],XRP-USDT
25,,,,1,,1,linear,1,PI,,False,PI-USDT,PI-USDT-SWAP,198319,SWAP,20,1740042000388,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],PI-USDT
26,,,,1,,1,linear,100,SPK,,False,SPK-USDT,SPK-USDT-SWAP,214785,SWAP,20,1750156200346,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],SPK-USDT
27,,,,1,,1,linear,1,MAGIC,,False,MAGIC-USDT,MAGIC-USDT-SWAP,114225,SWAP,50,1675321549791,1,100000000.0000000000000000,20000000,100000000,,70000,70000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],MAGIC-USDT
28,,,,1,,1,linear,1,1INCH,,False,1INCH-USDT,1INCH-USDT-SWAP,10484,SWAP,20,1608863400000,1,100000000.0000000000000000,20000000,100000000,,130000,130000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],1INCH-USDT
29,,,,1,,1,linear,10,A,,False,A-USDT,A-USDT-SWAP,212240,SWAP,50,1748514600412,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],A-USDT
30,,,,1,,1,linear,0.1,AAVE,,False,AAVE-USDT,AAVE-USDT-SWAP,10485,SWAP,50,1607580000000,0.1,100000000.0000000000000000,20000000,100000000,,15000,15000,100000000.0000000000000000,100000000.0000000000000000,0.1,,,,normal,USDT,live,,0.01,[],AAVE-USDT
31,,,,1,,1,linear,1,ACE,,False,ACE-USDT,ACE-USDT-SWAP,141678,SWAP,20,1702884300614,1,100000000.0000000000000000,20000000,100000000,,10000,10000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],ACE-USDT
32,,,,1,,1,linear,100,ACH,,False,ACH-USDT,ACH-USDT-SWAP,149234,SWAP,20,1708590301084,1,100000000.0000000000000000,20000000,100000000,,10000,10000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],ACH-USDT
33,,,,1,,1,linear,1,ACT,,False,ACT-USDT,ACT-USDT-SWAP,184433,SWAP,20,1731582000644,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],ACT-USDT
34,,,,1,,1,linear,100,ADA,,False,ADA-USDT,ADA-USDT-SWAP,10483,SWAP,50,1582888608000,0.1,100000000.0000000000000000,20000000,100000000,,10000,10000,100000000.0000000000000000,100000000.0000000000000000,0.1,,,,normal,USDT,live,,0.0001,[],ADA-USDT
35,,,,1,,1,linear,10,AERO,,False,AERO-USDT,AERO-USDT-SWAP,216936,SWAP,50,1751523300260,1,100000000.0000000000000000,20000000,100000000,,10000,10000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],AERO-USDT
36,,,,1,,1,linear,1,AEVO,,False,AEVO-USDT,AEVO-USDT-SWAP,151594,SWAP,20,1710325520298,1,100000000.0000000000000000,20000000,100000000,,50000,50000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],AEVO-USDT
37,,,,1,,1,linear,1,AGLD,,False,AGLD-USDT,AGLD-USDT-SWAP,41191,SWAP,20,1631008650016,1,100000000.0000000000000000,20000000,100000000,,54000,54000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],AGLD-USDT
38,,,,1,,1,linear,1,AI16Z,,False,AI16Z-USDT,AI16Z-USDT-SWAP,189539,SWAP,20,1734686100190,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],AI16Z-USDT
39,,,,1,,1,linear,10,AIXBT,,False,AIXBT-USDT,AIXBT-USDT-SWAP,191456,SWAP,20,1735887600188,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],AIXBT-USDT
40,,,,1,,1,linear,10,ALCH,,False,ALCH-USDT,ALCH-USDT-SWAP,191457,SWAP,20,1735888500097,1,100000000.0000000000000000,20000000,100000000,,50000,50000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],ALCH-USDT
41,,,,1,,1,linear,10,ALGO,,False,ALGO-USDT,ALGO-USDT-SWAP,10487,SWAP,50,1587463971000,1,100000000.0000000000000000,20000000,100000000,,55000,55000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],ALGO-USDT
42,,,,1,,1,linear,10,ANIME,,False,ANIME-USDT,ANIME-USDT-SWAP,194315,SWAP,50,1737644401356,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],ANIME-USDT
43,,,,1,,1,linear,0.1,APE,,False,APE-USDT,APE-USDT-SWAP,80553,SWAP,20,1647522059555,1,100000000.0000000000000000,20000000,100000000,,420000,420000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],APE-USDT
44,,,,1,,1,linear,1,API3,,False,API3-USDT,API3-USDT-SWAP,54789,SWAP,20,1646297716213,1,100000000.0000000000000000,20000000,100000000,,14000,14000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],API3-USDT
45,,,,1,,1,linear,1,APT,,False,APT-USDT,APT-USDT-SWAP,104900,SWAP,50,1666142328522,1,100000000.0000000000000000,20000000,100000000,,55000,55000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],APT-USDT
46,,,,1,,1,linear,0.1,AR,,False,AR-USDT,AR-USDT-SWAP,114960,SWAP,20,1676357700186,1,100000000.0000000000000000,20000000,100000000,,90000,90000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],AR-USDT
47,,,,1,,1,linear,10,ARB,,False,ARB-USDT,ARB-USDT-SWAP,117782,SWAP,20,1679580094937,0.1,100000000.0000000000000000,20000000,100000000,,30000,30000,100000000.0000000000000000,100000000.0000000000000000,0.1,,,,normal,USDT,live,,0.0001,[],ARB-USDT
48,,,,1,,1,linear,10,ARC,,False,ARC-USDT,ARC-USDT-SWAP,194549,SWAP,20,1737716401522,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],ARC-USDT
49,,,,1,,1,linear,1,ARKM,,False,ARKM-USDT,ARKM-USDT-SWAP,185260,SWAP,20,1732177800122,1,100000000.0000000000000000,20000000,100000000,,50000,50000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],ARKM-USDT
50,,,,1,,1,linear,100,ATH,,False,ATH-USDT,ATH-USDT-SWAP,162196,SWAP,20,1718250900308,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],ATH-USDT
51,,,,1,,1,linear,1,ATOM,,False,ATOM-USDT,ATOM-USDT-SWAP,10490,SWAP,50,1573557408000,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],ATOM-USDT
52,,,,1,,1,linear,0.1,AUCTION,,False,AUCTION-USDT,AUCTION-USDT-SWAP,139330,SWAP,20,1701417300613,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],AUCTION-USDT
53,,,,1,,1,linear,1,AVAX,,False,AVAX-USDT,AVAX-USDT-SWAP,10491,SWAP,50,1600840800000,0.1,100000000.0000000000000000,20000000,100000000,,15000,15000,100000000.0000000000000000,100000000.0000000000000000,0.1,,,,normal,USDT,live,,0.001,[],AVAX-USDT
54,,,,1,,1,linear,10,AVAAI,,False,AVAAI-USDT,AVAAI-USDT-SWAP,194933,SWAP,20,1737975602080,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],AVAAI-USDT
55,,,,1,,1,linear,0.1,AXS,,False,AXS-USDT,AXS-USDT-SWAP,26858,SWAP,20,1627462800000,1,100000000.0000000000000000,20000000,100000000,,150000,150000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],AXS-USDT
56,,,,1,,1,linear,10,BABY,,False,BABY-USDT,BABY-USDT-SWAP,205558,SWAP,50,1744282800387,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],BABY-USDT
57,,,,1,,1,linear,1,BAND,,False,BAND-USDT,BAND-USDT-SWAP,10493,SWAP,20,1599473571000,1,100000000.0000000000000000,20000000,100000000,,30000,30000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],BAND-USDT
58,,,,1,,1,linear,10,BAT,,False,BAT-USDT,BAT-USDT-SWAP,10494,SWAP,20,1598609571000,1,100000000.0000000000000000,20000000,100000000,,23000,23000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],BAT-USDT
59,,,,1,,1,linear,0.1,BCH,,False,BCH-USDT,BCH-USDT-SWAP,10465,SWAP,50,1573557408000,0.1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,0.1,,,,normal,USDT,live,,0.1,[],BCH-USDT
60,,,,1,,1,linear,0.1,BERA,,False,BERA-USDT,BERA-USDT-SWAP,196524,SWAP,20,1738850401850,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],BERA-USDT
61,,,,1,,1,linear,1,BICO,,False,BICO-USDT,BICO-USDT-SWAP,48267,SWAP,20,1639032617371,1,100000000.0000000000000000,20000000,100000000,,33000,33000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],BICO-USDT
62,,,,1,,1,linear,10,BIGTIME,,False,BIGTIME-USDT,BIGTIME-USDT-SWAP,134576,SWAP,20,1697115300862,1,100000000.0000000000000000,20000000,100000000,,50000,50000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],BIGTIME-USDT
63,,,,1,,1,linear,1,BIO,,False,BIO-USDT,BIO-USDT-SWAP,191474,SWAP,20,1735901100474,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],BIO-USDT
64,,,,1,,1,linear,10,BLUR,,False,BLUR-USDT,BLUR-USDT-SWAP,115030,SWAP,20,1676429700181,1,100000000.0000000000000000,20000000,100000000,,25000,25000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],BLUR-USDT
65,,,,1,,1,linear,0.01,BNB,,False,BNB-USDT,BNB-USDT-SWAP,111061,SWAP,50,1671778428049,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.1,[],BNB-USDT
66,,,,1,,1,linear,10,BNT,,False,BNT-USDT,BNT-USDT-SWAP,10495,SWAP,20,1608620400000,1,100000000.0000000000000000,20000000,100000000,,4400,4400,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],BNT-USDT
67,,,,1,,1,linear,1000,BOME,,False,BOME-USDT,BOME-USDT-SWAP,170930,SWAP,20,1723717202042,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.000001,[],BOME-USDT
68,,,,1,,1,linear,100000,BONK,,False,BONK-USDT,BONK-USDT-SWAP,143864,SWAP,20,1704695217299,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.000000001,[],BONK-USDT
69,,,,1,,1,linear,100,BRETT,,False,BRETT-USDT,BRETT-USDT-SWAP,173473,SWAP,20,1725617701730,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],BRETT-USDT
70,,,,1,,1,linear,100000,CAT,,False,CAT-USDT,CAT-USDT-SWAP,173474,SWAP,20,1725618600681,1,100000000.0000000000000000,20000000,100000000,,50000,50000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.000000001,[],CAT-USDT
71,,,,1,,1,linear,1,CATI,,False,CATI-USDT,CATI-USDT-SWAP,175147,SWAP,20,1726828200112,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],CATI-USDT
72,,,,1,,1,linear,1,CELO,,False,CELO-USDT,CELO-USDT-SWAP,42683,SWAP,20,1632477785202,1,100000000.0000000000000000,20000000,100000000,,50000,50000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],CELO-USDT
73,,,,1,,1,linear,10,CETUS,,False,CETUS-USDT,CETUS-USDT-SWAP,121206,SWAP,20,1683716471697,1,100000000.0000000000000000,20000000,100000000,,30000,30000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],CETUS-USDT
74,,,,1,,1,linear,10,CFX,,False,CFX-USDT,CFX-USDT-SWAP,16650,SWAP,20,1615539600000,1,100000000.0000000000000000,20000000,100000000,,120000,120000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],CFX-USDT
75,,,,1,,1,linear,10,CHZ,,False,CHZ-USDT,CHZ-USDT-SWAP,16651,SWAP,50,1615539600000,1,100000000.0000000000000000,20000000,100000000,,70000,70000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],CHZ-USDT
76,,,,1,,1,linear,0.1,COMP,,False,COMP-USDT,COMP-USDT-SWAP,10498,SWAP,20,1587463971000,1,100000000.0000000000000000,20000000,100000000,,14000,14000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.01,[],COMP-USDT
77,,,,1,,1,linear,10,COOKIE,,False,COOKIE-USDT,COOKIE-USDT-SWAP,194547,SWAP,20,1737718200560,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],COOKIE-USDT
78,,,,1,,1,linear,1,CORE,,False,CORE-USDT,CORE-USDT-SWAP,114601,SWAP,20,1675864514708,1,100000000.0000000000000000,20000000,100000000,,40000,40000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],CORE-USDT
79,,,,1,,1,linear,10,CRO,,False,CRO-USDT,CRO-USDT-SWAP,18476,SWAP,20,1617872400000,1,100000000.0000000000000000,20000000,100000000,,30000,30000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],CRO-USDT
80,,,,1,,1,linear,1,CRV,,False,CRV-USDT,CRV-USDT-SWAP,10500,SWAP,50,1599214371000,1,100000000.0000000000000000,20000000,100000000,,150000,150000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],CRV-USDT
81,,,,1,,1,linear,10,CTC,,False,CTC-USDT,CTC-USDT-SWAP,141067,SWAP,20,1702540523695,1,100000000.0000000000000000,20000000,100000000,,3000,3000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],CTC-USDT
82,,,,1,,1,linear,100,CVC,,False,CVC-USDT,CVC-USDT-SWAP,10501,SWAP,20,1607580000000,1,100000000.0000000000000000,20000000,100000000,,3000,3000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],CVC-USDT
83,,,,1,,1,linear,1,CVX,,False,CVX-USDT,CVX-USDT-SWAP,163800,SWAP,20,1719303900750,1,100000000.0000000000000000,20000000,100000000,,4000,4000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],CVX-USDT
84,,,,1,,1,linear,100,DEGEN,,False,DEGEN-USDT,DEGEN-USDT-SWAP,185262,SWAP,20,1732176000192,1,100000000.0000000000000000,20000000,100000000,,50000,50000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.000001,[],DEGEN-USDT
85,,,,1,,1,linear,100,DGB,,False,DGB-USDT,DGB-USDT-SWAP,150366,SWAP,20,1709281500656,1,100000000.0000000000000000,20000000,100000000,,10000,10000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.000001,[],DGB-USDT
86,,,,1,,1,linear,1000,DOGS,,False,DOGS-USDT,DOGS-USDT-SWAP,172312,SWAP,20,1724675400737,1,100000000.0000000000000000,20000000,100000000,,50000,50000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0000001,[],DOGS-USDT
